Season,Player(s),Club(s),Goals
2005,Samuel Eto'o,Barcelona,26
2006,Ruud van Nistelrooy,Real Madrid,25
2007,Dani Güiza,Mallorca,27
2008,Diego Forlán,Atletico Madrid,32
2009,Lionel Messi,Barcelona,34
2010,Cristiano Ronaldo,Real Madrid,40
2011,Lionel Messi,Barcelona,50
2012,Lionel Messi,Barcelona,46
2013,Cristiano Ronaldo,Real Madrid,31
2014,Cristiano Ronaldo,Real Madrid,48
2015,Luis Suárez,Barcelona,40
2016,Lionel Messi,Barcelona,37
2017,Lionel Messi,Barcelona,34
2018,Lionel Messi,Barcelona,36
2019,Lionel Messi,Barcelona,25
2020,Lionel Messi,Barcelona,30
2021,Karim Benzema,Girona,27
2022,Robert Lewandowski,Barcelona,23
