Season,Player(s),Club(s),Goals
2005,Pauleta,PSG,21
2006,Pauleta,PSG,15
2007,Karim Benzema,Lyon,20
2008,André-Pierre Gignac,Toulouse,24
2009,Mamadou Niang,Marseille,18
2010,Moussa Sow,Lille,25
2011,Olivier Giroud,Montpellier,21
2011,Nenê,PSG,21
2012,Zlatan Ibrahimović,PSG,30
2013,Zlatan Ibrahimović,PSG,26
2014,Alexandre Lacazette,Lyon,27
2015,Zlatan Ibrahimović,PSG,38
2016,Edinson Cavani,PSG,35
2017,Edinson Cavani,PSG,28
2018,Kylian Mbappé,PSG,33
2019,Wissam Ben Yedder,Monaco,18
2019,Kylian Mbappé,PSG,18
2020,Kylian Mbappé,PSG,27
2021,Kylian Mbappé,PSG,28
2022,Kylian Mbappé,PSG,29
