Player(s),Club(s),Goals,Season
Luca Toni,Fiorentina,31,2005
Francesco Totti,Roma,26,2006
Alessandro Del Piero,Juventus,21,2007
Zlatan Ibrahimović,Inter,25,2008
Antonio Di Natale,Udinese,29,2009
Antonio Di Natale,Udinese,28,2010
Zlatan Ibrahimović,Milan,28,2011
Edinson Cavani,Napoli,29,2012
Ciro Immobile,Torino,22,2013
Mauro Icardi,Inter,22,2014
Luca Toni,Verona,22,2014
Gonzalo Higuaín,Napoli,36,2015
Edin Džeko,Roma,29,2016
Mauro Icardi,Inter,29,2017
Ciro Immobile,Lazio,29,2017
Fabio Quagliarella,Sampdoria,26,2018
Ciro Immobile,Lazio,36,2019
Cristiano Ronaldo,Juventus,29,2020
Ciro Immobile,Lazio,27,2021
Victor Osimhen,Napoli,26,2022
